Month,Day,Time,CloudAmount,NightLength
1,20,11:00,7,61107
1,20,12:00,8,61107
1,20,13:00,7,61107
1,20,14:00,8,61107
1,20,15:00,8,61107
1,20,16:00,7,61107
1,20,17:00,8,61107
1,20,18:00,8,61107
1,20,19:00,8,61107
1,20,20:00,8,61107
1,20,21:00,7,61107
1,20,22:00,8,61107
1,20,23:00,7,61107
1,21,0:00,8,60846
1,21,1:00,7,60846
1,21,2:00,7,60846
1,21,3:00,8,60846
1,21,4:00,7,60846
1,21,5:00,8,60846
2,21,6:00,7,60846
1,21,7:00,8,60846
1,21,8:00,8,60846
1,21,9:00,8,60846
1,21,10:00,8,60846
1,21,11:00,8,60846
1,21,12:00,8,60846
1,21,13:00,8,60846
1,21,14:00,8,60846
1,21,15:00,8,60846
1,21,16:00,7,60846
1,21,17:00,7,60846
1,21,18:00,7,60846
1,21,19:00,7,60846
1,21,20:00,8,60846
1,21,21:00,7,60846
1,21,22:00,7,60846
1,21,23:00,7,60846
1,22,0:00,8,60581
1,22,1:00,8,60581
1,22,2:00,7,60581
1,22,3:00,8,60581
1,22,4:00,5,60581
1,22,5:00,5,60581
1,22,6:00,3,60581
1,22,7:00,8,60581
1,22,8:00,7,60581
1,22,9:00,3,60581
1,22,10:00,7,60581
1,22,11:00,7,60581
1,22,12:00,1,60581
1,22,13:00,1,60581
1,22,14:00,0,60581
1,22,15:00,0,60581
1,22,16:00,0,60581
1,22,17:00,5,60581
1,22,18:00,0,60581
1,22,19:00,7,60581
1,22,20:00,7,60581
1,22,21:00,1,60581
1,22,22:00,7,60581
1,22,23:00,7,60581
1,23,0:00,7,60312
1,23,1:00,7,60312
1,23,2:00,8,60312
1,23,3:00,8,60312
1,23,4:00,8,60312
1,23,5:00,8,60312
1,23,6:00,8,60312
1,23,7:00,9,60312
1,23,8:00,8,60312
1,23,9:00,8,60312
1,23,10:00,7,60312
1,23,11:00,7,60312
1,23,12:00,7,60312
1,23,13:00,7,60312
1,23,14:00,7,60312
1,23,15:00,7,60312
1,23,16:00,7,60312
1,23,17:00,7,60312
1,23,18:00,7,60312
1,23,19:00,7,60312
1,23,20:00,7,60312
1,23,21:00,7,60312
1,23,22:00,7,60312
1,23,23:00,7,60312
1,24,0:00,7,60038
1,24,1:00,7,60038
1,24,2:00,7,60038
1,24,3:00,7,60038
1,24,4:00,7,60038
1,24,5:00,7,60038
1,24,6:00,7,60038
1,24,7:00,7,60038
